modes,coeffINI,accumINI,coeffGD,accumGD,coeffLSGD,accumLSGD
1,9.176542465197736,9.176542465197736,1.5663147544543083e-05,1.5663147544543083e-05,6.836025192110507e-08,6.836025192110507e-08
2,0.6808558941278092,9.857398359325545,1.571426691575899e-05,3.137741446030208e-05,9.299774842440512e-10,6.929022940534913e-08
3,0.425707134185859,10.283105493511405,1.9533497096987424e-05,5.09109115572895e-05,5.53106512174769e-08,1.2460088062282603e-07
4,0.19499984163288323,10.478105335144289,0.0006276238502921244,0.0006785347618494139,2.6932998838180577e-07,3.939308690046318e-07
5,0.16480894467744314,10.642914279821731,0.00019708079045618906,0.000875615552305603,1.1957030040928109e-07,5.135011694139129e-07
6,0.10443099131575065,10.747345271137482,2.3832686199871626e-06,0.0008779988209255902,8.541251568106323e-08,5.989136850949761e-07
7,0.09312860343460345,10.840473874572085,0.00021252359330626428,0.0010905224142318543,3.198536671628229e-07,9.18767352257799e-07
8,0.06758475408277982,10.908058628654866,1.7851259312373812e-05,0.0011083736735442282,3.045165560448906e-06,3.963932912706705e-06
9,0.06182126073975661,10.969879889394623,0.0001094086920460463,0.0012177823655902744,2.8420253458491256e-07,4.248135447291618e-06
10,0.048350742644427035,11.01823063203905,1.4823578603520443e-05,0.0012326059441937949,1.8221670857555553e-10,4.248317664000193e-06
11,0.04491797086205039,11.0631486029011,6.381981796140163e-05,0.0012964257621551965,2.162627278307367e-06,6.410944942307561e-06
12,0.03683650390190607,11.099985106803006,9.98213718397091e-06,0.0013064078993391675,8.043080722181727e-07,7.215253014525733e-06
13,0.03458855425425698,11.134573661057262,2.7363332365932484e-05,0.0013337712317050999,3.40052369086131e-07,7.5553053836118645e-06
14,0.029306600035399345,11.163880261092661,1.910301708416327e-07,0.0013339622618759415,4.872385773307197e-07,8.042543960942584e-06
15,0.02773446138908807,11.191614722481749,1.842181752823582e-07,0.0013341464800512238,9.719293387475945e-07,9.014473299690178e-06
