modes,coeffGD,coeffLSGD
1,-1.7437058493689414e-05,-9.592916864168896e-06
2,-3.325095227717234e-05,4.4855269120125385e-06
3,2.857980237602753e-05,-1.5373995820855413e-07
4,-0.00019505018839982569,-8.329817902108516e-07
5,4.7099871656630654e-05,2.8274579296772018e-05
6,-8.000935956758992e-05,3.714697366874464e-05
7,9.24055292396142e-05,9.923511631496074e-05
8,-0.0010414916528090346,-0.00046149754472302185
9,0.0005956042658563504,-0.0009455379882995843
10,0.0007663270167381012,0.001905187936893496
11,-0.0012639583680404617,0.0004836029183600474
12,-0.003655272665947208,0.0004349507109258112
13,0.0044020216433578625,6.518769686173626e-05
14,0.003114396155883759,-0.0006189446059223502
15,0.0010121915771741027,0.00015998037856639405
16,0.0028274725803955764,-0.0008837894082235429
17,-0.0034960380583016343,0.00026223800610135004
18,0.004050833452987539,-0.0008771607691638143
19,-0.005089561546223222,0.00031908979281636274
20,0.004798001304395115,-0.0007994513247694349
21,-0.004678598985392732,0.00033708640901178744
22,0.00406443206330175,-0.0007103680778986383
23,-0.003787195457235845,0.00033230021419351687
24,0.003168431179321353,-0.0006270114367300976
25,-0.0031234231571134483,0.0003161465430456308
26,0.002626534537280212,-0.0005535076581118905
27,-0.002706702403490008,0.0002952747245217298
28,0.0022892499664076095,-0.0004902317575199424
29,-0.002397852601122001,0.0002730827711290864
30,0.0020197201329097553,-0.00043596576954555745
31,-0.0021331789243693717,0.00025119745534498425
32,0.0017875049922841948,-0.00038943264991028173
33,-0.001903170460657657,0.00023083130775456437
34,0.0015898018916323013,-0.0003497450600355575
35,-0.0017062856454918142,0.0002119828129787428
36,0.0014227002575022644,-0.0003152996016320274
37,-0.0015372823264753087,0.00019460566807254437
38,0.0012805677659149682,-0.0002855423260605741
39,-0.0013919588016228493,0.00017946636903522
40,0.0011584461342578917,-0.0002599893736977836
41,-0.0012659232901115981,0.00016520512437423712
42,0.0010529121484999322,-0.0002369705874833341
43,-0.0011555334690085469,0.00015255385868897554
44,0.0009611147842791112,-0.00021713176918703456
45,-0.0010592470787866757,0.00014131087054788678
46,0.0008806734178981893,-0.0001997081728412548
47,-0.0009740960705183611,0.00013084724913059237
48,0.0008096717808357824,-0.00018393253505539966
49,-0.0008985087189252552,0.0001219012241276574
50,0.0007471474908258993,-0.00017064707136747715
51,-0.0008315256045577947,0.00011372306275817868
52,0.0006915266948555829,-0.00015818589801537683
53,-0.0007718699816770967,0.00010611868894392154
54,0.000641768844804179,-0.0001469873792314079
55,-0.0007176546132842082,9.920735430399069e-05
56,0.0005971974067651182,-0.0001372953890681934
57,-0.0006698569895949812,9.309838604600572e-05
58,0.0005579649984882788,-0.00012805173171672498
59,-0.0006263955442024135,8.66841706284755e-05
60,0.0005208550791147972,-0.00011954873708989262
61,-0.0005864847318231739,8.184591437092998e-05
62,0.0004885585248623927,-0.00011243924240784996
63,-0.0005508430656611534,7.70066309965995e-05
64,0.0004588187429410622,-0.00010542364270553137
65,-0.0005179863747681846,7.246891649576699e-05
66,0.00043201645615170714,-9.935482096842915e-05
67,-0.00048825827071522756,6.906823698515983e-05
68,0.00040660524832611243,-9.379056002041162e-05
69,-0.000460237111332408,6.478711023732194e-05
70,0.0003836335409594558,-8.957537740481947e-05
71,-0.0004349011924704927,6.242252954863066e-05
72,0.00036235779890256395,-8.388490198035607e-05
73,-0.000411179437973425,5.816136499921091e-05
74,0.00034142794904065004,-7.937555053410487e-05
75,-0.0003897921712354834,5.5864179201651e-05
76,0.0003261869515976633,-7.652297890973526e-05
77,-0.00037115547541534584,5.3225825664847046e-05
78,0.0003104663852965755,-7.042156949680766e-05
79,-0.0003530025477011008,4.9057204502871426e-05
80,0.0002941763278599027,-6.847256101085233e-05
81,-0.00033492829987604746,4.9155533933648216e-05
82,0.0002806252933478243,-6.628290019949131e-05
