iteration,lossGD,lossLSGD,error2GD,error2LSGD,rel_errorGD,rel_errorLSGD
117,46696.75867223793,35462.650628711606,46624.519827559176,35582.20098583742,0.9999696339397275,0.8735666187028267
118,46696.72348379138,34634.58952699605,46624.48876082893,34724.07234752692,0.9999693007910735,0.8629685172459948
119,46696.68696824725,34200.02949376409,46624.45747776589,34292.069201636856,0.9999689653224308,0.8575836087654277
120,46696.6486655783,35673.14753757464,46624.425441646235,35745.83567432377,0.9999686217781553,0.8755729846713242
121,46696.60881140391,35076.5181910717,46624.39145796928,35228.79712686486,0.9999682573488193,0.8692176437170877
122,46696.566988202474,34029.6745856112,46624.35417941572,34167.035026050464,0.9999678575862002,0.85601873994301
123,46696.523387190755,35013.27999346675,46624.314849227376,35138.20460957203,0.9999674358223692,0.868099307158416
124,46696.47782125262,36228.245044033385,46624.275101139356,36312.41896574362,0.9999670095769407,0.882484764223427
125,46696.43015985226,33833.973476598396,46624.235164773374,33999.98254709218,0.9999665813122982,0.8539235146306166
126,46696.38043636859,34331.597940483334,46624.19389752479,34408.67693271872,0.9999661387755094,0.8590404472404418
127,46696.32847190167,35164.39976410653,46624.15030760457,35292.13690234014,0.9999656713309194,0.8699986997001696
128,46696.274391109466,34744.36372792254,46624.1048741392,34880.792443554936,0.9999651841164987,0.8649137420346256
129,46696.21793218063,35954.95915149682,46624.05761503991,36123.38174764976,0.999964677324293,0.8801847226674225
130,46696.15926294879,35506.03885724646,46624.008150175236,35698.377347746435,0.9999641468778552,0.8749915598819629
131,46696.098252047566,35114.54519290141,46623.956163881216,35246.50841041723,0.9999635893920586,0.8694361159180078
132,46696.03500994388,34553.527403070046,46623.90282513617,34727.954651869164,0.9999630174026501,0.8630167577396309
133,46695.96944368721,33200.60752582938,46623.84896448266,33351.18801923092,0.9999624398161132,0.8457369014579644
134,46695.90168799815,33327.4341452608,46623.793967225036,33437.66181031123,0.9999618500406081,0.8468326155218551
135,46695.8317355672,32545.812910883178,46623.7363876607,32711.986139771638,0.9999612325727816,0.8375930839067983
136,46695.75965554145,31649.536012796892,46623.67615764157,31694.41368008481,0.9999605866817796,0.8244626519716461
137,46695.68548896384,32574.301084816747,46623.61428685682,32796.54031435293,0.9999599231952012,0.838674893572788
138,46695.60932190198,30141.824447215262,46623.55123063734,30305.574024472717,0.9999592469958688,0.8061964531508227
139,46695.53117407666,29830.860626418384,46623.486605837476,29906.405303903728,0.9999585539749931,0.8008694609120397
140,46695.45109742587,29885.6351728452,46623.420400165225,30100.166308406726,0.9999578440007225,0.8034596541426975
141,46695.36911033356,27644.20222167029,46623.35271523097,27771.716068567508,0.9999571181626682,0.7717577229530198
142,46695.28520751237,26008.898741063596,46623.282825242095,26168.764292575655,0.9999563686775499,0.7491542258141488
143,46695.19934751363,25480.479318733604,46623.20993981991,25982.19514596289,0.9999555870694545,0.7464789165309175
144,46695.111508320035,22556.57797375173,46623.13460445033,22755.113647694903,0.9999547791879911,0.6985847974876819
145,46695.02156737396,21743.047055899024,46623.05759519616,21876.51896245494,0.999953953355449,0.6849655581094517
146,46694.92945217033,21319.65897690293,46622.978293454886,21550.71851309448,0.9999531029379999,0.6798459318172231
147,46694.83501743464,21754.321001599317,46622.89534147004,21813.902633633494,0.9999522133752288,0.6839845802098743
148,46694.73815230446,19721.38668338248,46622.80851742615,20101.418606951065,0.999951282288317,0.6565880583652065
149,46694.638703631485,17354.55790963955,46622.71816320848,17508.854023167958,0.9999503133434758,0.6127855092671877
150,46694.5365872278,17844.489775203503,46622.624124098664,17938.97415132388,0.9999493048814164,0.6202666456451925
151,46694.43168683356,20043.04560270733,46622.52617103235,20101.273977558874,0.9999482544455619,0.6565856962905572
152,46694.32396978444,15956.669358235573,46622.42438690676,16248.2223214137,0.9999471629247605,0.5903132784485396
153,46694.21342073569,17530.952072796565,46622.31826260904,17740.53271635973,0.9999460248592029,0.6168264016573478
154,46694.100075238515,16458.9199139954,46622.20739544896,16524.843611677494,0.999944835930316,0.5953170279810228
155,46693.98403901004,15959.49977719823,46622.09269997862,16045.49850136776,0.999943605945506,0.5866191456347196
156,46693.86542041677,15804.549129329058,46621.97495443905,15933.172188014752,0.9999423432504301,0.5845622294297522
157,46693.74439779617,14387.88869855323,46621.85366303704,14501.09017344333,0.9999410425281019,0.5576734289607261
158,46693.62113735112,13600.926967841444,46621.72871012557,13667.19507087791,0.999939702538178,0.541401335166172
