iteration,lossGD,lossLSGD,error2GD,error2LSGD,rel_errorGD,rel_errorLSGD
1,1257.0684933828113,1256.0821585662645,1257.048710527304,1256.0641056143324,1.0000856479184403,0.9996939040948675
2,1257.0697870148372,1256.191292604729,1257.0531682129415,1256.173443225214,1.0000874211446644,0.9997374137230904
3,1257.0183299159944,1256.0963744214969,1257.0015286977045,1256.0784427592127,1.000066879229127,0.9996996095024877
4,1256.848677235886,1256.0100901419437,1256.830717134577,1255.9920826706036,0.9999989283211246,0.9996652423690668
5,1256.910433269376,1255.9472061088459,1256.8913969373655,1255.9291500327715,1.0000230680101634,0.9996401974823992
6,1256.9760651013196,1255.8929180121654,1256.95668509051,1255.874845349195,1.0000490403461741,0.9996185857014203
7,1256.9112307608536,1255.8435511618627,1256.89220568603,1255.8254851681977,1.000023389743287,0.9995989412920542
8,1256.845440903562,1255.8054148417164,1256.82712439566,1255.7873671544262,0.9999974990365019,0.9995837707863601
9,1256.866220177185,1255.7792796125414,1256.8486026559303,1255.7612526735597,1.0000060436145017,0.9995733774078117
10,1256.9126705268566,1255.7583177727408,1256.895433360397,1255.740310273779,1.0000246737626226,0.9995650424028443
11,1256.9039923930034,1255.734955332143,1256.886707116627,1255.7169659495894,1.000021202322599,0.9995557513580898
12,1256.8597675822057,1255.7060390072045,1256.8421048037897,1255.6880669514246,1.0000034586174718,0.9995442494325742
13,1256.8417078124987,1255.6728602264627,1256.8235329162967,1255.65490467418,0.9999960702509207,0.9995310505405705
14,1256.8635749702933,1255.6364829921454,1256.8449686133267,1255.6185434829606,1.0000045979084773,0.9995165782509948
15,1256.883854330097,1255.595336421196,1256.8650608133669,1255.577413535038,1.0000125910232307,0.9995002076734464
16,1256.872548563617,1255.547932121433,1256.853856015711,1255.530027264373,1.0000081335185798,0.999481346616477
17,1256.8476088929115,1255.4961419782585,1256.8292335205838,1255.4782565817195,0.9999983381012879,0.9994607400344344
18,1256.8408872217938,1255.4453405886325,1256.8229071247586,1255.4274753498419,0.9999958212942692,0.9994405268763984
19,1256.8551811106872,1255.3992730352466,1256.8375200136243,1255.381427781288,1.0000016346770635,0.9994221975706065
20,1256.8656009930974,1255.354703181126,1256.8480682175384,1255.3368771130554,1.0000058310027051,0.9994044637883501
21,1256.857127673852,1255.3039420858142,1256.8395039266034,1255.2861336912345,1.0000024239260348,0.9993842645431535
22,1256.8423589763406,1255.2425172898857,1256.8244827557771,1255.224724690885,0.9999964481224133,0.9993598191447713
23,1256.839887539193,1255.173763427615,1256.821708468531,1255.1559852514579,0.9999953444365123,0.9993324549712833
24,1256.849143439895,1255.1016335220258,1256.8307325850706,1255.083871173825,0.9999989344677267,0.9993037465978861
25,1256.8542407650687,1255.027172792309,1256.8357543183392,1255.0094317212688,1.0000009322398895,0.999274111635409
26,1256.847730332816,1254.9559237533963,1256.8293407324863,1254.9382099109139,0.9999983807529542,0.999245756820207
27,1256.8391021483112,1254.8867982414006,1256.8209296828734,1254.8691159257753,0.9999950346144638,0.9992182483654983
28,1256.8392013335215,1254.8078932538338,1256.8212719181697,1254.7902457817922,0.9999951707649549,0.9991868467936286
29,1256.8453240609172,1254.719955282752,1256.8275649450484,1254.7023417665037,0.9999976742985724,0.9991518472889395
30,1256.8469598503686,1254.6386820102537,1256.8292355571318,1254.6211007222118,0.9999983389114794,0.999119499595475
31,1256.8416572407118,1254.5762433238478,1256.8238302358172,1254.5586984383,0.9999961885325755,0.9990946522077194
32,1256.8371661663105,1254.5202929324223,1256.8191535181245,1254.50278521628,0.9999943280076135,0.9990723881145315
33,1256.8388912138155,1254.4347014664481,1256.820694834061,1254.41722738388,0.9999949411852204,0.9990383188695623
34,1256.842543064844,1254.3259498873842,1256.824243422054,1254.3085061241052,0.9999963529090848,0.9989950242400747
35,1256.8417924408204,1254.2356967885296,1256.82350880155,1254.21829052884,0.9999960606574291,0.9989590974521487
36,1256.8378156350352,1254.1520067373958,1256.8196518218074,1254.134643103826,0.9999945262464793,0.9989257851690743
37,1256.8363983751365,1254.0211445198536,1256.8183989732406,1254.0038210179043,0.9999940278288983,0.9988736835212458
38,1256.8386402367441,1253.870061000394,1256.8207748271814,1253.8527809978052,0.9999949730086598,0.9988135264300522
39,1256.8399834463278,1253.7464462005414,1256.8221648974234,1253.7292249882328,0.9999955260162554,0.9987643131348881
40,1256.8380035283565,1253.6077499487824,1256.820131554012,1253.5905945283891,0.9999947170970649,0.9987090926849819
41,1256.835821416374,1253.442590631529,1256.8178296296878,1253.425510173112,0.9999938013283086,0.9986433309140761
42,1256.8364079510288,1253.3113140763785,1256.8182923628783,1253.2943250909498,0.9999939854163558,0.9985910699163644
43,1256.8379347653847,1253.196617454642,1256.8197516742466,1253.1797325250523,0.9999945659705124,0.9985454167419623
44,1256.8373941984873,1253.058854618604,1256.8192293811196,1253.0420833616854,0.9999943581879952,0.9984905751609091
45,1256.8356082863797,1252.934054287606,1256.8175336166544,1252.9174044078839,0.9999936835661282,0.9984408985144348
46,1256.8353135005461,1252.8271695357041,1256.8173528750333,1252.8106479454375,0.9999936116621003,0.9983983608784566
47,1256.8363821206658,1252.6921262988142,1256.8185027049387,1252.6757404481434,0.9999940690962272,0.9983446037322317
48,1256.8364596251627,1252.5376642396145,1256.8185919694838,1252.521424695388,0.9999941046081224,0.9982831093490558
49,1256.8352530940329,1252.3886664810518,1256.817328945871,1252.3725838250457,0.9999936021424157,0.9982237931016903
50,1256.83471572089,1252.213365971726,1256.8167030467841,1252.1974538533404,0.9999933531423638,0.9981539955754061
