modesX,modesY,coeffINI,accumINIinside,accumINIoutside,accumINIototal,coeffGD,accumGDinside,accumGDoutside,accumGDototal,coeffLSGD,accumLSGDinside,accumLSGDoutside,accumLSGDototal
1,1,5.07063461474105,8.388693697926017,0.004038153906350305,8.392731851832368,4.179052409263337e-06,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.237802985462938e-06,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,2,0.9191013649738431,8.388693697926017,0.004038153906350305,8.392731851832368,0.0006322792716335642,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,2.7109494405870408e-05,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,3,0.039872773937881155,8.388693697926017,0.004038153906350305,8.392731851832368,0.0025386894212088345,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.3405503085030716e-05,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,4,0.043317356482711504,8.388693697926017,0.004038153906350305,8.392731851832368,0.00013999999530668386,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,7.518859852892677e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,5,0.004529139629529628,8.388693697926017,0.004038153906350305,8.392731851832368,0.0002866140603661904,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,8.058878504015063e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,6,0.008159544829546499,8.388693697926017,0.004038153906350305,8.392731851832368,3.4943036473910176e-05,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.1302589078232521e-05,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,7,0.0011551929005907068,8.388693697926017,0.004038153906350305,8.392731851832368,7.181915403540162e-05,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,7.52423695687477e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,8,0.002565057266787306,8.388693697926017,0.004038153906350305,8.392731851832368,1.1851744516190425e-05,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.8944986486801173e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,9,0.00042269029057155107,8.388693697926017,0.004038153906350305,8.392731851832368,2.5876818434283115e-05,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.0256531930350779e-06,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,10,0.0010611409116198854,8.388693697926017,0.004038153906350305,8.392731851832368,5.089080300900045e-06,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,7.561924539833642e-08,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,11,0.00019337658064875414,8.388693697926017,0.004038153906350305,8.392731851832368,1.152622761066978e-05,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,7.367854500578051e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,12,0.0004839087667145419,8.388693697926017,0.004038153906350305,8.392731851832368,2.5686667308191722e-06,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.747957384863357e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,13,9.121507252671715e-05,8.388693697926017,0.004038153906350305,8.392731851832368,5.93929902385481e-06,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,4.6855358354033086e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,14,0.0002501446162449023,8.388693697926017,0.004038153906350305,8.392731851832368,1.3238700106590005e-06,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.7379552914404128e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,15,3.0317922982795137e-05,8.388693697926017,0.004038153906350305,8.392731851832368,3.08226553444087e-06,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,2.9989048931946874e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,16,0.0001485789279408211,8.388693697926017,0.004038153906350305,8.392731851832368,8.242354059078062e-07,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.346472352145522e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,17,2.0610556575753768e-05,8.388693697926017,0.004038153906350305,8.392731851832368,2.053095460416955e-06,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.9617224777041428e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,18,6.521983091499057e-05,8.388693697926017,0.004038153906350305,8.392731851832368,5.422294287643811e-07,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.0720106064517941e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,19,1.1650237395444711e-05,8.388693697926017,0.004038153906350305,8.392731851832368,1.318739852502503e-06,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.2610501086536582e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,20,6.357653948084083e-05,8.388693697926017,0.004038153906350305,8.392731851832368,4.0820144853858206e-07,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,8.07628935324267e-08,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,21,5.129915737151759e-06,8.388693697926017,0.004038153906350305,8.392731851832368,9.091265368757757e-07,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,8.804021722959755e-08,0.1525819970041774,0.0007948269632557247,0.15337682396743313
1,22,5.111558660681923e-05,8.388693697926017,0.004038153906350305,8.392731851832368,1.7651106265441376e-07,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,5.972392173398678e-08,0.1525819970041774,0.0007948269632557247,0.15337682396743313
