modes,coeffINI,accumINI,coeffGD,accumGD,coeffLSGD,accumLSGD
1,9.176539846697812,9.176539846697812,1.5724227973642382e-05,1.5724227973642382e-05,4.2461376336003855e-08,4.2461376336003855e-08
2,0.6808551809066964,9.85739502760451,1.9417085543976532e-05,3.514131351761891e-05,9.478306102343709e-11,4.2556159397027293e-08
3,0.4257065702070838,10.283101597811592,2.50095026290983e-05,6.015081614671721e-05,3.808804018134098e-09,4.636496341516139e-08
4,0.19499945988315182,10.478101057694744,0.0007433356582935445,0.0008034864744402617,9.107156831115597e-08,1.3743653172631737e-07
5,0.16480859365777223,10.642909651352516,0.00021964081221997057,0.0010231272866602322,3.074659185849972e-07,4.449024503113146e-07
6,0.10443071185499965,10.747340363207517,6.821825564966101e-06,0.0010299491122251984,1.7013062457773877e-07,6.150330748890534e-07
7,0.0931283395203773,10.840468702727895,0.00026967844924443037,0.0012996275614696289,5.531117741027744e-08,6.703442522993308e-07
8,0.06758452928003024,10.908053232007925,2.6610514263216868e-05,0.0013262380757328458,2.800097664901195e-09,6.73144349964232e-07
9,0.0618210457678183,10.969874277775743,0.00012186260457112314,0.0014481006803039689,2.5127305653051804e-07,9.244174064947501e-07
10,0.04835055256644598,11.018224830342188,1.245134893400744e-05,0.0014605520292379764,4.3434364731683697e-08,9.678517712264337e-07
11,0.04491778768400145,11.06314261802619,5.6053400335733246e-05,0.0015166054295737096,2.0136852197976527e-08,9.879886234244101e-07
12,0.036836338047045676,11.099978956073235,5.460701988090411e-06,0.0015220661315618,3.232982984957221e-07,1.3112869219201322e-06
13,0.03458839355985212,11.134567349633087,2.182716706184419e-05,0.0015438932986236442,2.921969365169694e-07,1.6034838584371017e-06
14,0.02930645211905609,11.163873801752144,1.4791764215857594e-09,0.0015438947778000658,1.1240711595576216e-07,1.7158909743928639e-06
15,0.027734317453382038,11.191608119205526,3.183780670704549e-07,0.0015442131558671363,1.753731995663341e-08,1.7334282943494974e-06
16,0.024063781956171853,11.215671901161699,1.8600422933961102e-05,0.0015628135788010975,2.341315316425276e-07,1.967559825992025e-06
17,0.022909728133952326,11.23858162929565,2.7904956575101518e-05,0.001590718535376199,5.804352863687164e-07,2.5479951123607412e-06
18,0.020238819247352585,11.258820448543002,0.00010806303860205744,0.0016987815739782563,5.669050924045651e-07,3.1149002047653065e-06
19,0.01935972481915801,11.27818017336216,0.00015133218073190495,0.0018501137547101614,3.679056461973649e-07,3.4828058509626713e-06
20,0.017345381316237026,11.295525554678397,0.0003017522731926443,0.0021518660279028056,6.672878048907624e-08,3.5495346314517477e-06
21,0.016655941324100042,11.312181496002497,0.0003874479584292902,0.002539313986332096,1.0137409977732817e-08,3.5596720414294805e-06
22,0.015092681593629654,11.327274177596127,0.0005968149238416966,0.0031361289101737924,2.4208213298160553e-07,3.801754174411086e-06
23,0.014539124872073267,11.3418133024682,0.0007160148245349584,0.003852143734708751,5.793401680690016e-07,4.3810943424800876e-06
24,0.013297243080570226,11.35511054554877,0.0009606291292576702,0.004812772863966421,9.04556372753084e-07,5.285650715233171e-06
25,0.012844107595135204,11.367954653143906,0.0010954827422088335,0.005908255606175254,9.386029284965813e-07,6.224253643729752e-06
26,0.011838154114706017,11.379792807258612,0.0013494536185978557,0.00725770922477311,7.902576075107227e-07,7.014511251240475e-06
27,0.011461165452124876,11.391253972710738,0.00148174043392998,0.00873944965870309,4.4436279069835775e-07,7.458874041938833e-06
28,0.010632812968434525,11.401886785679173,0.00172385552382078,0.01046330518252387,1.535376510132353e-07,7.612411692952068e-06
29,0.01031482988400027,11.412201615563173,0.0018398453895737377,0.012303150572097608,1.8816750142642488e-09,7.614293367966333e-06
30,0.009623055744271199,11.421824671307444,0.0020561696897706994,0.014359320261868307,8.537808190167798e-08,7.69967144986801e-06
31,0.009351650608502947,11.431176321915947,0.0021479669892639245,0.016507287251132232,3.9952436840139016e-07,8.0991958182694e-06
32,0.008766855118595067,11.439943177034541,0.0023315314929681884,0.01883881874410042,8.191273587009263e-07,8.918323176970326e-06
33,0.008532810696256556,11.448475987730799,0.002396351626695448,0.021235170370795867,1.287052678612896e-06,1.0205375855583222e-05
34,0.00803315831398974,11.45650914604479,0.002545518992176327,0.023780689362972195,1.6082263779872093e-06,1.1813602233570432e-05
35,0.007829502583842308,11.464338648628631,0.002584187696687425,0.02636487705965962,1.7905198273924326e-06,1.3604122060962865e-05
36,0.007398571684757347,11.471737220313388,0.0027007732328851817,0.0290656502925448,1.7138536020787468e-06,1.5317975663041612e-05
37,0.007219939644413056,11.478957159957801,0.002716224603819193,0.03178187489636399,1.4882635944436937e-06,1.6806239257485306e-05
38,0.006845168270353456,11.485802328228155,0.002803909657057816,0.03458578455342181,1.0978106780792843e-06,1.790404993556459e-05
39,0.006687367937125578,11.492489696165281,0.0028000171899317063,0.037385801743353514,6.959071286676782e-07,1.859995706423227e-05
40,0.006359000294739078,11.49884869646002,0.0028632155770230896,0.040249017320376605,3.181005240367542e-07,1.8918057588269024e-05
41,0.006218711592602122,11.505067408052621,0.002844010317797451,0.043093027638174054,7.733529715564732e-08,1.899539288542467e-05
42,0.005929068480001411,11.510996476532624,0.002887148887131437,0.04598017652530549,1.2577721012937735e-09,1.8996650657525965e-05
