iteration,lossGD,lossLSGD,error2GD,error2LSGD,rel_errorGD,rel_errorLSGD
1,11.441624356285406,3.770558838827607,12.107852895978269,4.325810498612651,1.0316688487492711,0.6166524970275716
2,10.3374809831436,0.46224091631896436,11.006030641239299,0.820533865276488,0.9836081262133822,0.26856845717450784
3,9.34584461022542,0.44163068622113355,10.015011398588271,0.7928687438277578,0.9382800303834204,0.26400211009474606
4,8.46767477927296,0.42554633223042926,9.13579707308181,0.7707622532496794,0.8961484778302191,0.2602956846297421
5,7.703304137435757,0.4121598475011782,8.368772751209482,0.7519625729680662,0.8577043976090906,0.2571016488570513
6,7.0515294862609235,0.4005992116014953,7.7128136377447625,0.7353989045672945,0.8234043711274152,0.25425426022285963
7,6.509298035057032,0.3905396397889438,7.164976290677599,0.720693814242556,0.7936227852300463,0.25169938043968476
8,6.071504273426601,0.381879313997724,6.720298860722814,0.7077643198215172,0.7686011728655491,0.2494313755629732
9,5.730859191745413,0.3745442231013041,6.371672604043902,0.6965659303356696,0.748399477192147,0.24745023109334957
10,5.477858610644272,0.36841337130070395,6.109810957884153,0.6869861193160982,0.7328593546380747,0.2457427592728461
11,5.300891898428618,0.3633152642226861,5.923356623289628,0.6788320263277571,0.7215903050943476,0.24427999984125887
12,5.186540840611522,0.3590564374845299,5.799175168469585,0.6718653730365676,0.713986274114336,0.24302328031956014
13,5.12013247868092,0.3554519082771397,5.7228969552829305,0.6658450162071994,0.7092750979162662,0.24193200575228355
14,5.0866041269561,0.35234351546071496,5.67976378655244,0.6605560362015415,0.7065971582328658,0.24096922563940618
15,5.0716005890133715,0.34960501242754277,5.655703001027476,0.655821091143793,0.7050989157978992,0.24010402419856403
16,5.062515277381943,0.3471392492915925,5.638348200738125,0.6514999483024059,0.7040162694284345,0.2393117056154742
17,5.04922006371995,0.3448725782691364,5.617755911464897,0.6474839858648206,0.7027294947300785,0.23857298533426358
18,5.024416769963947,0.3427493158963558,5.586751037687974,0.6436898398824629,0.7007875996580178,0.23787295977041237
19,4.983643288578055,0.34072736780538904,5.540933203924558,0.6400541039725467,0.6979080483105726,0.23720022277272837
20,4.925007460481876,0.33877516293112736,5.478415935279734,0.6365295535517789,0.6939596994098922,0.23654623255414045
21,4.848745851997513,0.3368697415325678,5.399394058551912,0.6330828197335453,0.6889366063769609,0.2359049280003988
22,4.75670455474477,0.33499579641368826,5.305634565487682,0.6296933267365827,0.6829287817049854,0.23527256900807528
23,4.651818008659278,0.3331453748284591,5.199965454239993,0.6263530639263227,0.6760938391685238,0.23464772741114193
24,4.53763376522938,0.33131785857442175,5.085809560983087,0.6230665245214755,0.6686314436269153,0.23403130727715393
25,4.41790700388119,0.3295197430231034,4.96678679220487,0.6198500332335444,0.6607611617198836,0.23342644916778632
26,4.296272518370691,0.32776359974785496,4.846392407425486,0.6167294122787773,0.6527036436130521,0.23283811766203294
27,4.175993225092064,0.32606580237182975,4.7277505147251535,0.6137353800505188,0.6446648995579279,0.2322722512089588
28,4.059780669390237,0.32444302557733595,4.613438431075493,0.6108969195150191,0.636823547659049,0.23173451157326286
29,3.9496821066438645,0.3229084008149603,4.50537666055353,0.6082343591439182,0.629321112516283,0.2312289591025167
30,3.847028709029177,0.32146871592437043,4.404779190426893,0.6057546822253097,0.6222556095932229,0.2307571354652089
31,3.752439240267845,0.3201239432285184,4.312158567167667,0.6034511601278256,0.6156786737226817,0.23031796390054593
32,3.6658727345934885,0.31886924169795594,4.227379390263834,0.601307367355841,0.6095963558773697,0.22990849141834369
33,3.58672233806008,0.31769823449748613,4.149752478919884,0.599303313269506,0.6039734470236816,0.22952504892523523
34,3.513940780307397,0.3166058939077174,4.078160280408746,0.5974208885810831,0.5987408568442402,0.22916429384235626
35,3.4461862883275693,0.31558983636099,4.011202436703732,0.5956467277458243,0.5938052588887589,0.22882376623215012
36,3.3819765038730263,0.3146498420498003,3.9473491760713477,0.593972315823132,0.5890599847538696,0.22850191867819283
37,3.3198375183571804,0.3137863118648443,3.885089743075634,0.592392451653265,0.5843960567844376,0.22819782844113995
38,3.2584358378293725,0.31299873522507804,3.8230637692109197,0.5909035703223768,0.5797123070569697,0.2279108791082185
39,3.196683074680396,0.31228482712999206,3.7601654554908106,0.5895026350725325,0.5749237198972699,0.22764054916764134
40,3.1338062661850334,0.3116404022031761,3.69561352029526,0.5881866083386227,0.5699674086108734,0.22738631075008237
41,3.069380517069103,0.3110595791839775,3.6289836346346447,0.5869519003476489,0.5648059382253051,0.22714752327618842
42,3.003324609289118,0.3105350520461293,3.560203980197282,0.5857936309903417,0.5594279877168314,0.22692329030167738
43,2.9358637994697205,0.3100583599751927,3.4895181093553638,0.5847048877891261,0.5538465790315498,0.2267123149010694
44,2.867466841703311,0.3096202615596067,3.4174220737586083,0.5836764118540263,0.54809527662531,0.2265128375331508
45,2.798766107466504,0.30921126096401547,3.3445845997131793,0.5826968924264996,0.5422228833958694,0.22632269203030844
46,2.730470462922261,0.30882223833653055,3.27175986455648,0.5817538400367906,0.5362872347064533,0.226139474490287
47,2.6632803670494245,0.30844506480131423,3.199702230545637,0.5808347487492572,0.5303487276819931,0.22596076920107314
48,2.597813605937267,0.30807304143942993,3.129091256243671,0.5799281495956001,0.5244642184144621,0.2257843542718693
49,2.534548346828109,0.3077011151831464,3.0604735976398727,0.5790243751830304,0.5186818699593851,0.22560835170447266
50,2.473787960192273,0.30732587232067754,2.9942262114528404,0.578115930624379,0.5130374321729281,0.2254313011862752
51,2.415649510611022,0.3069453841292226,2.9305427704019933,0.5771975415680806,0.5075522780487248,0.22525217108689535
52,2.3600751702128764,0.30655899030531103,2.869442603682317,0.576266045264564,0.5022333180730971,0.22507033880950994
53,2.3068633040004247,0.3061670865809848,2.810799022266686,0.5753202086670294,0.49707468523803794,0.22488555680830397
54,2.2557138793665477,0.3057709355307149,2.7543818361904475,0.5743605588245823,0.49206086094371093,0.22469792090062393
55,2.2062814210341015,0.3053725198316811,2.6999074714066555,0.5733892610231646,0.4871707326135322,0.22450784783499173
56,2.15822817235778,0.30497438980322583,2.6470895461919746,0.5724099561758822,0.48238196882900175,0.22431604481779496
57,2.1112705322722585,0.3045794961389611,2.595683166140082,0.571427560251951,0.4776750850130706,0.2241234714724347
58,2.0652131662010356,0.3041909961248762,2.545517495007294,0.5704479619200601,0.473036652206424,0.22393128162294493
59,2.0199672380732547,0.303812018031102,2.4965131594343304,0.5694775935816759,0.4684612566720203,0.22374073986684767
60,1.975551656937336,0.30344543378740596,2.4486834337001104,0.5685229547567184,0.46395202093936383,0.22355312828421373
