iteration,lossGD,lossLSGD,errorGD,errorLSGD
1,1257.0632778333538,1256.0948619071992,1257.0532484154862,1256.110207671056
2,1504.0677749169006,1255.6648567304605,1498.5518596254133,1255.6803895605708
3,1259.757102557886,1255.42332650132,1259.633288381883,1255.4392539355283
4,1316.3020141981372,1255.0514235077426,1314.5956099975817,1255.067479377617
5,1261.9619292899945,1254.70728050853,1261.770415989723,1254.723180842684
6,1278.3705481241286,1254.548825005077,1278.061903366787,1254.564452877508
7,1295.7456688352472,1254.5868938531157,1295.117432955666,1254.6028110973837
8,1273.7234860515227,1254.1874390662879,1273.536698595184,1254.2033085978615
9,1257.5242537118186,1254.0954193835864,1257.5551123091554,1254.1109368978664
10,1261.0953191306246,1253.3194861129548,1260.9163999015032,1253.3346133342345
11,1268.821233021766,1252.959056680114,1268.414668757644,1252.9750665331496
12,1269.3818539994245,1251.7420077763104,1268.9703925434887,1251.7597046968604
13,1264.4860725742067,1249.193859065544,1264.22114018234,1249.2135450999658
14,1259.4467627488318,1248.5877419533022,1259.3389457517849,1248.6061302538176
15,1257.0386269026708,1245.5429888560607,1257.0284852562327,1245.5643059091747
16,1257.1397807913918,1244.1469629696926,1257.1675361443283,1244.1695109100306
17,1258.4039446530799,1237.1345989806985,1258.4361404561491,1237.1615011867011
18,1259.5600617513205,1230.7745243197228,1259.5875017969734,1230.8028761450182
19,1259.9514825493627,1223.9072286064506,1259.977345346788,1223.9375102898691
20,1259.5560624608654,1213.1839884215876,1259.5847534157756,1213.2118937990804
21,1258.7248212858046,1201.048085973203,1258.7562643233866,1201.0723741717527
22,1257.8698595373226,1179.7968665616459,1257.899410452554,1179.8279525395208
23,1257.2651724749526,1150.0017864072088,1257.2865340282565,1150.0306711327066
24,1256.9954617382105,1138.3840920859066,1257.0038234120884,1138.414415499051
25,1256.9998566457643,1106.457232740248,1256.9938233539915,1106.4926981110289
26,1257.1466413191822,1091.6980322974186,1257.1286757901976,1091.7308899047014
27,1257.3024918366707,1049.6663725123112,1257.2780552861166,1049.688589088391
28,1257.3808914792128,1045.9431092203401,1257.3566699002913,1045.966370348774
29,1257.3614977067707,1018.1103574640154,1257.3433652764893,1018.1313495813389
30,1257.2793749178998,1002.4571947949642,1257.2708600003486,1002.4785339759914
31,1257.193810499004,975.6357950733168,1257.1955812320564,975.6616597240703
32,1257.1529404059413,965.266359485774,1257.16335620707,965.2923138228789
33,1257.1694688249827,943.2881437259127,1257.1858132927864,943.3180188694446
34,1257.217190211751,909.9182497996987,1257.2369615972955,909.9453595463739
35,1257.2491851682612,844.1660929081474,1257.2708447387347,844.1857352318333
36,1257.227132940659,804.1800798063509,1257.250035132757,804.1964442668537
37,1257.1436064824468,708.2250618801796,1257.1673327331503,708.2502286172305
38,1257.0240360394362,621.1816587406599,1257.047695846237,621.2015565561301
39,1256.9099079817063,375.07009450520377,1256.9319022239408,375.1193800915944
40,1256.8363854327788,31.33266565505866,1256.8547526592015,31.38410264129292
41,1256.8173564610552,14.95508928739752,1256.8304673204095,15.002351226998181
42,1256.8430839389498,5.267358105219714,1256.8503138149754,5.239706039884717
43,1256.8883999690959,13.34700046431982,1256.8904737898197,13.323378541892648
44,1256.9259379079722,16.383682395416812,1256.9248057644968,16.436780329148
45,1256.9381490058151,19.49085100346064,1256.9364483165243,19.63779817228656
46,1256.92306235996,36.672064620587086,1256.9233900015513,36.750536924422754
47,1256.8920238168557,16.423629655485605,1256.8963040962087,16.430362925183978
48,1256.861749032396,5.551456319054003,1256.870906609737,5.533007615603829
49,1256.8454554158852,5.971711472306731,1256.8594401048306,5.93795454915671
50,1256.8473286342412,7.548941347985594,1256.8653911840556,7.5125284439668
51,1256.8621317988213,7.651163675581219,1256.8831831486295,7.615276099310604
52,1256.8791689239365,8.211489560686173,1256.9020745922835,8.174447940426754
53,1256.8881270056136,6.411437767206478,1256.9118607906225,6.374156131137204
54,1256.8838658019426,5.944648110446791,1256.9075323351008,5.906947285390201
55,1256.868056742717,5.835479905675546,1256.8908533398574,5.799555769392172
56,1256.8473433553486,6.082586633871887,1256.86854332883,6.045368226435172
57,1256.8294631753256,2.508125838794058,1256.848466549939,2.470462878365109
58,1256.8195410071207,2.5842776973180035,1256.8359818615154,2.5471416714344493
59,1256.8182676018828,8.508577697821627,1256.8321243579628,8.480703783214967
60,1256.8224548978528,7.439491909609871,1256.8341008086034,7.414458741392318
61,1256.8272760575132,1.5885870086173746,1256.837431291158,1.5532808356086338
62,1256.8288590493978,0.9367383984542044,1256.838448058185,0.9025673879740924
63,1256.8259599614962,1.3475358582203179,1256.8359174712782,1.3095917401102422
64,1256.8200710387946,0.5302210544379202,1256.8311589040277,0.492510768416165
65,1256.8141677129647,0.7785777539900032,1256.8268557532767,0.7410109706302446
66,1256.8109296652256,1.4887493675587469,1256.8253635705546,1.4527701686147736
67,1256.81139661949,1.0860640522616674,1256.827441732265,1.0497503989830173
68,1256.8146562793377,1.2015148854337987,1256.8319834858846,1.1635188310360394
69,1256.8185648445042,0.7558861050628898,1256.8367413219705,0.7177756004546071
70,1256.8209878262583,0.19063910148572777,1256.8395482293595,0.1529299000416326
71,1256.8208551496964,0.7970245519356439,1256.8393482976917,0.7593038454882233
72,1256.8185147723038,1.4438772436791534,1256.8365358251137,1.4052431482835896
73,1256.8153082692406,0.7889927290795357,1256.8325297247054,0.749964760354597
74,1256.8127138931013,3.0708497054475776,1256.8289209963527,3.0339047187768546
75,1256.8115748300027,94.17846860303186,1256.8266990667482,94.14400465895676
76,1256.8117966815953,1.6535237738176514,1256.8259333003534,1.615114458115412
77,1256.8125858292847,1.1628351715635796,1256.825982560929,1.1259593343383625
78,1256.8130077667038,4.371508972032675,1256.8260211897257,4.334238389930326
79,1256.8125182521633,1.7964128678480793,1256.8255464224796,1.7599245549478715
80,1256.811194167297,1.8329783703903002,1256.8246029831753,1.7943417219954976
81,1256.8095935602917,1.0628471548261431,1256.823655855957,1.0258219764841838
82,1256.8083804872963,1.9054394932868588,1256.8232410093194,1.870835691338223
83,1256.8079521302875,1.482153174457629,1256.8236218342765,1.450189917290814
84,1256.808266337525,4.12374750683877,1256.8246405952134,4.096184904877166
85,1256.8089299636254,4.228032276950346,1256.8258207184,4.237024276309211
86,1256.8094597591041,1.8475916706006572,1256.8266320817017,1.8203510496295285
87,1256.8095484204566,3.498180234472847,1256.8267554511503,3.4581002158840017
88,1256.809191385465,3.5512075813303325,1256.8262054126349,3.604295574345065
89,1256.8086283904292,2.113424727567838,1256.8252676174538,2.1018038792099207
90,1256.808162756954,5.439478926625511,1256.8243127461528,5.453309940875893
91,1256.8079785921714,0.9753580426311911,1256.8236057367358,0.959598194595572
92,1256.8080574711596,1.752994251572827,1256.82321104339,1.7348581139827304
93,1256.8082241169254,1.7024500647894907,1256.8230247069735,1.6877306745296
94,1256.8082738048306,0.45968953491275666,1256.8228891305428,0.42755367219136964
95,1256.8080961143614,0.940993286014273,1256.822708859425,0.9071615259368644
96,1256.8077253474114,3.996988658735575,1256.8225001197745,3.9678013722687187
97,1256.807300403199,2.4339157144192125,1256.8223569739666,2.4090803231630726
98,1256.806971099784,3.260699456074559,1256.8223688461471,3.2429390394536872
99,1256.8068128780337,4.484553230738334,1256.822547920557,4.450811490490538
100,1256.806797536191,3.5636671550035826,1256.8228108988314,3.525330729163077
101,1256.806827987434,7.337759039929198,1256.8230212650983,7.305178752828794
102,1256.80680659039,2.2860613049779266,1256.8230612837865,2.254587838555107
103,1256.8066916622781,1.5326223923090398,1256.822888993096,1.5113160379266906
104,1256.8065108542114,1.5517672865798295,1256.8225497149801,1.5140988999250067
105,1256.8063306646459,0.781376278180154,1256.8221418745009,0.7438177860732187
106,1256.806207746667,28.883340912392914,1256.8217629894548,28.852731709337274
107,1256.8061545178875,76.5971409321857,1256.8214686282759,76.59101887104528
108,1256.806137688792,47.59412830033955,1256.8212637206727,47.56065961993825
109,1256.8061053027368,13.597671092989204,1256.8211231146327,13.559608024188908
110,1256.8060211603145,10.980101138213405,1256.8210217146404,10.937798854958114
111,1256.8058843179242,67.63029385518247,1256.8209529324517,67.59381130197406
112,1256.8057240381713,49.06512555924253,1256.8209259968235,49.04356874542869
113,1256.8055772073722,10.608468017251697,1256.8209483639894,10.572045638215684
114,1256.8054649545602,44.77139178177595,1256.8210085781282,44.7307197703163
115,1256.8053830325252,55.83272568055765,1256.8210726737373,55.799280536711095
116,1256.8053096097947,20.980644516060742,1256.821096664668,20.95018630001607
117,1256.805222629153,2.463589799042958,1256.8210467206206,2.430240566576055
118,1256.805114141481,3.0347870181062495,1256.820914354825,3.011108048158046
119,1256.8049930067145,13.196622558284247,1256.8207181977773,13.156871800693315
120,1256.8048761940768,10.332155596539787,1256.8204928846833,10.292340467404907
121,1256.8047761994887,23.010317953705638,1256.8202729527643,22.96552743691809
122,1256.8046933814676,10.814785143105391,1256.8200810649512,10.834292663795972
123,1256.804617406574,3.419641163578177,1256.8199254301524,3.3828546846948773
124,1256.8045354035016,43.69089879483124,1256.8198047763174,43.67039035568814
125,1256.8044404456352,4.501108857222743,1256.8197151377826,4.492812060793687
126,1256.8043347977093,32.83009920238968,1256.8196532087136,32.79674743423839
127,1256.8042266875814,321.6665675563255,1256.8196149013556,321.68931840581905
128,1256.8041238120534,503.299318089257,1256.8195918028232,503.3844536514145
129,1256.8040284065592,596.3273764145197,1256.8195696309017,596.3665668997189
130,1256.803936870235,719.5728894823372,1256.8195309592943,719.6072615956632
131,1256.8038434022833,762.0424216733472,1256.8194611256804,762.0726473061542
132,1256.8037445022126,840.1695472689764,1256.8193538815788,840.2113900884216
133,1256.8036411222379,931.1357802683084,1256.8192135119089,931.135269179177
134,1256.8035373834985,962.6708812023774,1256.8190524568004,966.5175475077305
135,1256.8034372940092,1013.7906955169758,1256.8188861306235,1014.0920278350064
136,1256.803342046261,997.7770962827235,1256.8187278802004,997.9360252430934
137,1256.8032496605003,1008.3747048782102,1256.8185862847536,1020.2344772209709
138,1256.8031568403712,964.0108861654589,1256.8184651099155,964.112473045674
139,1256.8030614032425,1011.8464443456974,1256.8183646402235,1017.5110658957135
140,1256.8029635182234,980.41151473786,1256.8182828094964,980.5096525359115
141,1256.8028651036504,967.5419527651884,1256.8182154408387,968.3343737597904
142,1256.8027681253295,908.7987499580087,1256.8181560876524,908.8225217805887
143,1256.8026731813422,904.817792186089,1256.8180964796827,906.1367394181225
144,1256.802579323793,902.1478148821436,1256.8180281170012,902.176832311173
145,1256.802485031409,900.1233633197932,1256.817944587226,900.2184496790268
146,1256.802389440383,886.1691462358317,1256.8178435009186,886.4348211450571
147,1256.802292902861,775.7263387700268,1256.8177270452197,775.7524882541202
148,1256.8021965782893,872.035804161433,1256.8176009239626,872.0907794551814
149,1256.8021015082606,684.6572924169926,1256.8174723058332,684.6817182507805
150,1256.8020079251585,743.6748010302217,1256.8173477773007,743.6758150761698
151,1256.8019152528832,705.9059819008348,1256.8172320385252,705.9274510127825
152,1256.801822680897,720.3290461120251,1256.817127484674,720.6081572179428
153,1256.801729796763,690.4148233610185,1256.8170343452907,690.5139484418102
154,1256.8016368074477,702.6309810097744,1256.816950983592,702.6433388517228
155,1256.8015442614549,672.6031198540404,1256.8168742097178,672.6501978206387
156,1256.8014525668805,631.8247258269516,1256.816799735988,631.8675317878609
157,1256.8013617013867,555.0532227248657,1256.8167229420226,555.0947608527699
158,1256.8012712997888,446.032008235145,1256.81663990411,446.3608949197148
159,1256.8011809904747,361.19147365563737,1256.8165483761577,361.295564527812
160,1256.8010906855327,11.74962583419578,1256.816448322439,11.716536552751034
161,1256.8010006125041,100.8163039587892,1256.8163417755388,100.81370419718274
162,1256.800911105437,284.020099216965,1256.8162321061313,285.0574560791132
163,1256.8008223519637,466.40044231844394,1256.8161230342143,466.4923594649045
164,1256.800734293794,557.8580692783806,1256.8160177470734,558.2966024675794
165,1256.8006467285036,255.48400835892883,1256.8159183399612,255.4694364345728
166,1256.800559499306,203.29720311329186,1256.8158255991598,203.38653018054043
167,1256.8004726118938,160.23924913735914,1256.8157390362223,160.43719740716432
168,1256.8003862014084,30.27619946451921,1256.8156570898682,30.240043063996378
169,1256.800300401851,137.3088799965027,1256.815577470864,137.2831256910758
170,1256.8002152372894,331.1519265289625,1256.8154976448575,331.131452094764
171,1256.8001306170788,701.7341986550903,1256.815415396169,702.1643308863314
172,1256.8000464220022,775.2660381756768,1256.815329337965,775.2587465759959
173,1256.7999625988928,1180.760014178836,1256.8152392072463,1180.9509903647952
174,1256.7998791881305,1146.8158391953807,1256.815145844915,1147.1414386649465
175,1256.7997962737354,1172.1018707637857,1256.815050881374,1172.2144979554773
176,1256.7997139083827,1202.9316560911277,1256.8149562548542,1203.009072811378
177,1256.799632076479,1227.1010199859702,1256.8148637258182,1227.1447930336508
178,1256.799550717359,1238.8488251842175,1256.8147745121034,1238.884417911304
179,1256.7994697790286,1247.4079382021698,1256.8146890974601,1247.4340759069862
180,1256.7993892536597,1252.1278265067672,1256.8146072090772,1252.1461985851356
181,1256.79930916934,1255.6408803691352,1256.8145279370779,1255.6567017433695
182,1256.7992295524446,1255.7340585896773,1256.8144499663492,1255.7496523778937
183,1256.7991503965309,1256.073541998016,1256.8143718835606,1256.0886738605982
184,1256.799071662332,1256.2378199696711,1256.8142925012664,1256.2533651593858
185,1256.7989933039414,1256.3454235286947,1256.814211121759,1256.3606108175643
186,1256.7989152956432,1256.3875116952531,1256.8141276685224,1256.4028260360897
187,1256.798837637553,1256.3937314192324,1256.8140426508558,1256.4090937435583
188,1256.7987603391985,1256.4302324544026,1256.8139569821556,1256.4455280854943
189,1256.798683398339,1256.4847314223607,1256.8138717170175,1256.5004266398282
190,1256.7986067931847,1256.4707275152946,1256.8137877869904,1256.4865822993797
191,1256.7985304918946,1256.4821800512248,1256.8137057993256,1256.4981486129948
192,1256.7984544682251,1256.4902912977282,1256.813625932958,1256.5058105483206
193,1256.7983787090338,1256.4893581803087,1256.8135479380098,1256.505433539777
194,1256.7983032087009,1256.515835649448,1256.8134712265512,1256.531945473283
195,1256.7982279574414,1256.5329843289,1256.813395030123,1256.5490438444658
196,1256.7981529345002,1256.5450745453911,1256.8133185888707,1256.5610517484486
197,1256.79807811128,1256.5538082403223,1256.813241328693,1256.5696969475287
198,1256.798003460214,1256.5602739735416,1256.8131629829072,1256.5760854023854
199,1256.7979289610273,1256.5657650237436,1256.8130836285495,1256.5815276125718
200,1256.7978545996752,1256.573343765905,1256.8130036324574,1256.5890882555182
201,1256.797780362219,1256.5804020563623,1256.8129235289282,1256.5960787699212
202,1256.7977062298003,1256.5844006918912,1256.8128438681574,1256.5999886930645
203,1256.7976321787978,1256.5875960326002,1256.812765077244,1256.6031186786208
204,1256.7975581850674,1256.5904502302492,1256.8126873656463,1256.60592471046
205,1256.7974842278318,1256.592975476802,1256.8126106912725,1256.6084123346136
206,1256.797410289878,1256.595154273165,1256.8125347880225,1256.6105607112484
207,1256.7973363545186,1256.5969791719424,1256.8124592431438,1256.6123606338942
208,1256.797262402558,1256.5984530514352,1256.8123836035454,1256.6138139333048
209,1256.7971884119534,1256.5995856382194,1256.8123074845614,1256.6149296293017
210,1256.7971143600732,1256.600391220012,1256.8122306543669,1256.615721486786
211,1256.7970402262038,1256.6008860707557,1256.8121530738422,1256.6162053588582
212,1256.7969659921291,1256.6010871110068,1256.812074884367,1256.6163978108038
213,1256.7968916406803,1256.601010791923,1256.8119963508452,1256.6163149840029
214,1256.7968171539158,1256.6006719658806,1256.8119177789902,1256.6159714517232
215,1256.7967425126196,1256.6000837796905,1256.8118394307598,1256.6153801091577
216,1256.7966676973142,1256.5992569844952,1256.811761459337,1256.6145514757857
217,1256.796592689604,1256.5982001014252,1256.811683877425,1256.613493860375
218,1256.7965174725691,1256.5969190718477,1256.8116065630447,1256.612213006499
219,1256.7964420300257,1256.5954174987214,1256.8115292979717,1256.6107123337401
220,1256.7963663455116,1256.593696521713,1256.8114518268856,1256.6089928089455
221,1256.7962904019917,1256.5917549039355,1256.8113739211665,1256.6070530332504
222,1256.7962141824373,1256.5895891904172,1256.8112954309363,1256.6048893996362
223,1256.7961376706553,1256.587193674584,1256.811216312717,1256.6024960571872
224,1256.7960608515953,1256.5845607296176,1256.8111366272483,1256.5998652457913
225,1256.7959837109788,1256.5816808098975,1256.8110565104585,1256.596987297165
226,1256.7959062347195,1256.5785430502463,1256.8109761276337,1256.5938512389223
227,1256.7958284086951,1256.5751357209099,1256.8108956243714,1256.590445255284
228,1256.7957502190045,1256.5714469416837,1256.8108150873084,1256.5867574072731
229,1256.7956716523731,1256.5674661504781,1256.81073452369,1256.5827771154468
230,1256.7955926962886,1256.5631855700872,1256.810653863142,1256.5784966381796
231,1256.7955133387788,1256.558601727643,1256.8105729792212,1256.573912603584
232,1256.7954335680934,1256.5537186312304,1256.8104917236058,1256.5690292059733
233,1256.795353372601,1256.5485490654155,1256.8104099631803,1256.563859506014
234,1256.7952727409659,1256.5431166669769,1256.8103276101567,1256.5584275074968
235,1256.7951916623952,1256.5374561083631,1256.810244637849,1256.5527683256157
236,1256.7951101267265,1256.5316102876488,1256.8101610790636,1256.546925335619
237,1256.7950281242934,1256.5256255233035,1256.8100770090111,1256.5409453170423
238,1256.7949456457377,1256.5195428823513,1256.8099925186798,1256.5348697165355
239,1256.7948626819316,1256.5133889620906,1256.8099076866508,1256.5287253842266
240,1256.794779224048,1256.5071669521667,1256.8098225569481,1256.5225156202903
241,1256.7946952636669,1256.5008522581763,1256.8097371281929,1256.5162158291357
242,1256.7946107927926,1256.494392428085,1256.8096513558412,1256.5097735120348
243,1256.7945258037646,1256.4877126641848,1256.809565165747,1256.5031138591505
244,1256.7944402891585,1256.4807236185663,1256.8094784744783,1256.4961476125047
245,1256.7943542417636,1256.4733299952607,1256.8093912104184,1256.4887797092863
246,1256.7942676546477,1256.4654371696386,1256.8093033299235,1256.480915913186
247,1256.794180521219,1256.4569550832575,1256.8092148245712,1256.4724667002024
248,1256.7940928352361,1256.4477985902047,1256.8091257182796,1256.4633475876694
249,1256.794004590747,1256.4378838395724,1256.809036055958,1256.4534755073596
250,1256.7939157820197,1256.4271202976838,1256.8089458875327,1256.442760842571
251,1256.7938264035222,1256.4153968066903,1256.808855252118,1256.4310935340134
252,1256.793736449937,1256.4025606311893,1256.8087641666154,1256.4183222306249
253,1256.7936459161813,1256.3883865923535,1256.808672621423,1256.4042235987736
254,1256.793554797397,1256.3725356994219,1256.808580583784,1256.38846119294
255,1256.7934630889113,1256.3545035866805,1256.8084880071867,1256.3705341232424
256,1256.7933707862098,1256.3335706006362,1256.8083948437334,1256.3497271512922
257,1256.7932778849433,1256.3087975831886,1256.8083010558487,1256.3251055500957
258,1256.793184380947,1256.279202813162,1256.8082066241614,1256.295688620116
259,1256.7930902702578,1256.244431755052,1256.8081115497132,1256.2611111547164
260,1256.792995549108,1256.2061543016598,1256.80801585038,1256.2230108602198
261,1256.7929002138983,1256.1686325225746,1256.8079195530172,1256.1856129028833
262,1256.792804261181,1256.1347806415765,1256.8078226838923,1256.1518509353111
263,1256.7927076876545,1256.1037557384032,1256.8077252602293,1256.1209153616212
264,1256.7926104901724,1256.0774792282116,1256.807627285106,1256.094613506326
265,1256.7925126657428,1256.0574293599468,1256.8075287468232,1256.0743230485089
266,1256.792414211527,1256.0397375161356,1256.8074296225082,1256.05629640507
267,1256.7923151248297,1256.0249115579004,1256.807329884579,1256.0411911517788
268,1256.7922154031028,1256.0155483589313,1256.8072295079924,1256.0316671430414
269,1256.792115043954,1255.99507966378,1256.8071284761754,1256.011076122981
270,1256.7920140451631,1255.9711598675062,1256.8070267840753,1255.9870576648702
271,1256.7919124046882,1255.944312110221,1256.8069244377166,1255.9605677805575
272,1256.7918101206653,1255.9046495201983,1256.8068214507066,1255.9207460191933
273,1256.7917071914044,1255.905273668275,1256.8067178389445,1255.9223673343245
274,1256.7916036153922,1256.0734279268888,1256.8066136152158,1256.0888715761573
275,1256.7914993912977,1256.0621343855273,1256.8065087852153,1256.0777044972835
276,1256.7913945179787,1255.911941244215,1256.806403346007,1255.9284817144076
277,1256.7912889944919,1255.9365101172446,1256.8062972871496,1255.955003240219
278,1256.791182820096,1255.858702217331,1256.8061905939264,1255.8781784063224
279,1256.7910759942615,1255.8208155123828,1256.8060832515769,1255.8393715190841
280,1256.7909685166817,1255.7818057565685,1256.80597524923,1255.7996628719325
281,1256.7908603872897,1255.7222364569368,1256.805866582436,1255.739792330627
282,1256.790751606267,1255.6833706389411,1256.8057572536968,1255.700716460696
283,1256.7906421740568,1255.663261180546,1256.805647271025,1255.679961627412
284,1256.7905320913678,1255.6532582148516,1256.805536645124,1255.6688924350296
285,1256.7904213591846,1255.683952919474,1256.8054253861442,1255.6990214065295
286,1256.790309978774,1255.6634672775858,1256.805313500989,1255.6787009623174
287,1256.7901979516992,1255.6171146676763,1256.805200991918,1255.6332462870205
288,1256.790085279826,1255.5873538365795,1256.805087856731,1255.604160763165
289,1256.789971965337,1255.534842898032,1256.8049740903416,1255.5511989079737
290,1256.7898580107403,1255.4914040635508,1256.8048596871581,1255.5068379599902
291,1256.789743418885,1255.4706484328087,1256.8047446435012,1255.4859897542894
292,1256.7896281929698,1255.4486014613408,1256.8046289593442,1255.4645074490918
293,1256.7895123365615,1255.421444069989,1256.8045126389304,1255.437732307916
294,1256.7893958535992,1255.3491292391545,1256.8043956901809,1255.364696118247
295,1256.7892787484086,1255.2785399304603,1256.8042781231882,1255.2932178767874
296,1256.7891610257082,1255.2485453957922,1256.8041599483179,1255.2634580876095
297,1256.7890426906188,1255.1770630432493,1256.804041174527,1255.1916239082404
298,1256.7889237486725,1255.118299423344,1256.8039218083816,1255.1329120879384
299,1256.7888042058216,1255.064655640041,1256.8038018540033,1255.0793670906432
300,1256.788684068449,1255.4324907314478,1256.8036813138854,1255.4509440837323
301,1256.7885633433764,1255.360123556887,1256.8035601902577,1255.378044303268
302,1256.7884420378737,1255.272525235006,1256.803438486543,1255.2901278722861
303,1256.7883201596683,1255.511236139421,1256.803316208469,1255.5293976447542
304,1256.7881977169536,1255.5834778691874,1256.803193364529,1255.602483689221
305,1256.7880747183965,1255.625698245205,1256.8030699657174,1255.6428513939572
306,1256.787951173142,1255.6614437851429,1256.8029460246844,1255.679048509227
307,1256.7878270908216,1255.6947727811037,1256.802821554622,1255.7125295666146
308,1256.787702481553,1255.7311419730902,1256.802696568239,1255.7488122164978
309,1256.787577355948,1255.6930655988665,1256.8025710771371,1255.7112167888379
310,1256.7874517251157,1255.5556516209504,1256.8024450917305,1255.57469094331
311,1256.7873256006626,1255.357394956307,1256.8023186216942,1255.3763792323978
312,1256.7871989947,1255.1052464241939,1256.8021916767502,1255.1227447187896
313,1256.787071919844,1254.8837512015532,1256.8020642675244,1254.899968009642
314,1256.786944389217,1254.3891467836522,1256.8019364062025,1254.407157560257
315,1256.786816416449,1254.3659853331287,1256.8018081068021,1254.3853636767024
316,1256.7866880156773,1254.425232870083,1256.8016793850102,1254.4427257229388
317,1256.7865592015442,1255.1030493411818,1256.80155025768,1255.1173789658624
318,1256.786429989194,1254.0753757733464,1256.8014207421618,1254.0939587668317
319,1256.7863003942693,1254.567689522397,1256.8012908556996,1254.5849198721226
320,1256.7861704329073,1254.4098546973328,1256.8011606150662,1254.4277649546052
321,1256.7860401217313,1254.118618736039,1256.8010300365295,1254.141037776952
322,1256.7859094778485,1253.3576299789909,1256.800899136129,1253.3754889438308
323,1256.7857785188396,1253.9872027016947,1256.8007679301436,1254.0037973780707
324,1256.7856472627516,1253.9575824529722,1256.8006364355913,1253.9731367326112
325,1256.7855157280878,1252.8200212893623,1256.8005046705919,1252.838523602946
326,1256.785383933799,1251.2699601618297,1256.800372654492,1251.2853456542018
327,1256.7852518992693,1254.901259491036,1256.8002404077317,1254.919543175669
328,1256.7851196443025,1255.5022846799052,1256.8001079515102,1255.5188224294252
329,1256.7849871891094,1255.3227282455755,1256.7999753073727,1255.3374813936748
330,1256.7848545542893,1255.0025864773681,1256.799842496846,1255.0191760571563
331,1256.7847217608128,1254.3033066228518,1256.7997095412331,1254.3194515683442
332,1256.7845888300042,1254.2738365297428,1256.799576461607,1254.2885247941163
333,1256.7844557835217,1253.5856083700137,1256.7994432789826,1253.6008953621563
334,1256.784322643335,1254.7324223814962,1256.7993100145886,1254.7511008203958
335,1256.7841894317041,1254.972396511497,1256.7991766901396,1254.9872558661918
336,1256.7840561711564,1254.612880241287,1256.79904332801,1254.6271447087297
337,1256.7839228844596,1254.1802178630483,1256.7989099512565,1254.1949064263538
338,1256.783789594597,1253.4833919534792,1256.7987765834928,1253.4976287433271
339,1256.7836563247392,1254.3652523567303,1256.7986432486516,1254.379502854333
340,1256.7835230982134,1251.935840544828,1256.7985099707194,1251.9528748418006
341,1256.7833899384773,1252.3732180256447,1256.7983767735227,1252.3912032528322
