iteration,lossGD,lossLSGD,error2GD,error2LSGD,rel_errorGD,rel_errorLSGD
1,1257.048623515076,1256.0640761727452,1257.048796990116,1256.0640953970037,1.0000856823125792,0.9996939000289121
2,1257.0534742262735,1256.173381223992,1257.053144311973,1256.1733811459708,1.000087411637088,0.9997373890199163
3,1256.9988047682714,1256.07835022205,1256.9985068020915,1256.0783416216473,1.000065677122581,0.9996995692553251
4,1256.8302496793667,1255.9920141312164,1256.8301378319543,1255.9920085556864,0.9999986978596707,0.9996652128744112
5,1256.8936516464537,1255.929129851791,1256.8937117240087,1255.9291355585176,1.0000239888689506,0.9996401917221037
6,1256.9580650929236,1255.8748692523445,1256.9581797843398,1255.874896303656,1.0000496349437062,0.9996186059801231
7,1256.8922485770681,1255.8254954270092,1256.8923069209884,1255.825554110747,1.0000234300161617,0.9995989687301413
8,1256.8271988406175,1255.7873048549327,1256.827145124173,1255.7874004575033,0.9999975072828474,0.99958378404068
9,1256.848982475727,1255.7611096636333,1256.8488189074942,1255.761240508252,1.0000061296442992,0.9995733725660801
10,1256.8951105781607,1255.7401268519918,1256.894888278772,1255.7402869828459,1.0000244569207442,0.9995650331330922
11,1256.8855520701222,1255.716793483647,1256.8853390448492,1255.7169760268634,1.0000206580805648,0.9995557553688651
12,1256.8412548940862,1255.6879326304252,1256.8411030514999,1255.6881316541944,1.0000030600964682,0.9995442751847026
13,1256.8238817935928,1255.6548059041788,1256.8238119829953,1255.6550175177094,0.9999961812711153,0.9995310954536308
14,1256.846155164523,1255.6184767476364,1256.8461540478916,1255.618699373417,1.0000050695019378,0.9995166402981395
15,1256.8660591432977,1255.5773890297792,1256.8660875981911,1255.577622496627,1.0000129994988798,0.9995002908451971
16,1256.8542553356979,1255.5300504615404,1256.854267613932,1255.530294975208,1.0000082972613782,0.9994814531738536
17,1256.829376317465,1255.4783020560749,1256.8293383533899,1255.4785577196371,0.9999983798064881,0.9994608598993171
18,1256.8231111166535,1255.4274890397,1256.8230108986513,1255.4277556311072,0.9999958625783102,0.9994406384417598
19,1256.8376044280776,1255.3813800297476,1256.8374544159105,1255.3816569913247,1.0000016085806824,0.9994222888088481
20,1256.8477467804262,1255.3368078175856,1256.8475773795499,1255.337094460699,1.000005635736105,0.9994045503062402
21,1256.8389751279872,1255.2861265918464,1256.838821013834,1255.2864218265017,1.0000021522467488,0.9993843792412402
22,1256.8242901700041,1255.2248244493924,1256.8241766603915,1255.2251265875075,0.9999963263495161,0.9993599791317824
23,1256.822121236021,1255.1561690299186,1256.8220559470392,1255.1564766479223,0.9999954826728524,0.9993326505917451
24,1256.8314698034865,1255.084119679938,1256.8314411357524,1255.084432822705,0.9999992163473023,0.9993039701916155
25,1256.8363663436667,1255.0096997796736,1256.8363493638744,1255.0100195777186,1.0000011689637482,0.9992743456693725
26,1256.8296885428786,1254.9383779278849,1256.829655960526,1254.9387044506198,0.9999985061588065,0.9992459537090459
27,1256.8211538890778,1254.8691201473916,1256.8210868609858,1254.869454265442,0.999995097144186,0.9992183830708402
28,1256.821446769428,1254.7901091752456,1256.8213414951413,1254.7904577275565,0.9999951984445606,0.9991869311796093
29,1256.8275878184693,1254.7020975685002,1256.8274560908187,1254.7024697863058,0.9999976309935154,0.9991518982616739
30,1256.8290758064832,1254.620747838545,1256.828939203066,1254.621148923106,0.9999982210141618,0.999119518787904
31,1256.8237006334825,1254.5582145454136,1256.8235808733689,1254.5586468942397,0.9999960893295272,0.9990946316836118
32,1256.8193085663368,1254.5022274030312,1256.8192185850567,1254.5026943185621,0.9999943538930252,0.9990723519195533
33,1256.8211416921918,1254.4167419194805,1256.8210809424615,1254.41725446232,0.9999950947896363,0.9990383296524177
34,1256.8247595603282,1254.3081119860426,1256.8247151112637,1254.3086793996688,0.9999965405596046,0.9989950932428037
35,1256.8239118281308,1254.217857208634,1256.8238647427706,1254.2184821787841,0.9999962022603633,0.9989591737747672
36,1256.8199332435322,1254.1341237014078,1256.8198671881642,1254.1348124273916,0.9999946119251081,0.9989258526026911
37,1256.8186017561625,1254.0032931277456,1256.8185098877848,1254.0040656347182,0.9999940719537613,0.9988737809457042
38,1256.8208795807473,1253.8521711903225,1256.8207669499764,1253.8530436695773,0.9999949698748933,0.998813631051627
