modes,coeffINI,accumINI,coeffGD,accumGD,coeffLSGD,accumLSGD
399,0.00024539688505656855,11.871484335055207,0.00023884385093785425,4.434956326902692,0.00016408538291549254,3.5080656425722343
400,0.0002443661532295641,11.871728701208436,0.00023790543633757174,4.43519423233903,0.00016388288025053456,3.5082295254524847
401,0.00024367872683226014,11.871972379935269,0.00023722085851287376,4.435431453197543,0.00016344093711339268,3.508392966389598
402,0.00024265907989331822,11.872215039015162,0.00023629173257231362,4.435667744930115,0.00016323177176173314,3.5085561981613598
403,0.00024197902495529458,11.872457018040118,0.0002356059852191335,4.435903350915335,0.00016275605325100995,3.508718954214611
404,0.0002409715193757897,11.872697989559493,0.000234680529459343,4.436138031444794,0.00016250929820373064,3.5088814635128145
405,0.00024029917523262688,11.872938288734725,0.00023400004275334174,4.436372031487547,0.00016203326160827664,3.5090434967744226
406,0.00023930471926573104,11.87317759345399,0.00023309645230930486,4.436605127939856,0.00016181818576001567,3.5092053149601825
407,0.00023864224038626377,11.873416235694377,0.00023243724211668496,4.436837565181973,0.0001613872934157391,3.5093667022535984
408,0.00023766200254857978,11.873653897696926,0.00023154949666713835,4.43706911467864,0.00016118878640295327,3.509527891040001
409,0.00023700791330797188,11.873890905610233,0.00023088914108063686,4.437300003819721,0.00016073943054607437,3.5096886304705475
410,0.00023603820597264404,11.874126943816206,0.00022999394343633633,4.437529997763157,0.00016049953843545888,3.509849130008983
411,0.00023538777587453792,11.874362331592081,0.00022933169744141207,4.437759329460598,0.00016002668848229986,3.5100091566974654
412,0.00023442518680678954,11.874596756778889,0.00022844977482932625,4.437987779235428,0.00015979535932304846,3.5101689520567882
413,0.0002337810514638652,11.874830537830352,0.0002278121245057493,4.438215591359934,0.00015935841319949997,3.510328310469988
414,0.00023283266742079228,11.875063370497772,0.00022695249478473715,4.438442543854719,0.00015915449444003644,3.5104874649644278
415,0.00023220030126389565,11.875295570799036,0.00022632373193568462,4.438668867586655,0.00015871768002580198,3.5106461826444537
416,0.0002312665960060091,11.875526837395041,0.00022546554857728995,4.438894333135232,0.000158487395929372,3.510804670040383
417,0.00023064164320379672,11.875757479038246,0.0002248279367660463,4.439119161071998,0.00015803208620005752,3.5109627021265832
418,0.00022971598096281474,11.875987195019208,0.00022397638833044923,4.4393431374603285,0.000157806306318746,3.511120508432902
419,0.0002290947641684233,11.876216289783377,0.00022334789776079652,4.439566485358089,0.00015738141645689943,3.511277889849359
420,0.00022817919459665483,11.876444468977974,0.00022251325220297796,4.439788998610292,0.0001571768717936411,3.5114350667211527
421,0.00022756616247925115,11.876672035140453,0.0002218983796010472,4.440010896989893,0.0001567474820661665,3.5115918142032188
422,0.00022666307639540142,11.876898698216849,0.000221069283915302,4.440231966273808,0.00015650964257579023,3.5117483238457945
423,0.0002260562354570154,11.877124754452305,0.00022045620484967992,4.440452422478658,0.0001560563964999094,3.5119043802422945
424,0.0002251603051407298,11.877349914757446,0.00021963933498384054,4.4406720618136415,0.00015582448932316737,3.512060204731618
425,0.00022455797772032862,11.877574472735166,0.00021903609896672813,4.440891097912608,0.00015540790194828064,3.512215612633566
426,0.00022367362114949005,11.877798146356316,0.00021823773425798021,4.441109335646867,0.00015521519187066063,3.5123708278254364
427,0.00022308293079472273,11.87802122928711,0.0002176403254172498,4.4413269759722835,0.0001548013036102411,3.5125256291290468
428,0.0002222142095540531,11.878243443496665,0.00021683982907151286,4.441543815801355,0.000154573247751302,3.512680202376798
429,0.00022163067705193855,11.878465074173716,0.0002162376206919259,4.441760053422047,0.00015412079807423503,3.5128343231748724
430,0.00022076623635449157,11.878685840410071,0.00021543884066420533,4.441975492262711,0.00015387974400357887,3.512988202918876
431,0.00022018052868311735,11.878906020938754,0.00021485019245446818,4.442190342455166,0.00015346324992524449,3.513141666168801
432,0.00021932107744999406,11.879125342016204,0.00021407410788251368,4.442404416563048,0.0001532702341842609,3.5132949364029855
433,0.00021874503145096494,11.879344087047654,0.00021350438176340322,4.442617920944811,0.00015288097559642503,3.513447817378582
434,0.00021790534469900868,11.879561992392354,0.00021273465408451012,4.442830655598896,0.00015266369415417054,3.513600481072736
435,0.00021734441520586783,11.87977933680756,0.00021216034687197141,4.443042815945768,0.0001522241165879262,3.513752705189324
436,0.00021651489957704698,11.879995851707138,0.0002113884223360647,4.443254204368104,0.0001519709060709281,3.513904676095395
437,0.00021595179975112845,11.880211803506889,0.00021081718950611224,4.443465021557611,0.0001515453571080773,3.514056221452503
438,0.00021512007935851955,11.880426923586247,0.00021006186740232064,4.4436750834250125,0.00015134806963557008,3.5142075695221386
439,0.00021455695670321995,11.88064148054295,0.00020950369974984855,4.443884587124763,0.00015097296048747453,3.514358542482626
440,0.00021373900413389733,11.880855219547083,0.0002087589879498195,4.444093346112712,0.0001507795317303022,3.5145093220143564
441,0.00021319326874170676,11.881068412815825,0.00020820077944177533,4.444301546892154,0.00015035740212378593,3.5146596794164804
442,0.0002123941565444178,11.88128080697237,0.00020745426590070207,4.444509001158055,0.00015010561502232274,3.5148097850315025
443,0.00021185510337284625,11.881492662075743,0.0002069010771356649,4.444715902235191,0.00014966650181180444,3.5149594515333145
444,0.0002110558650543775,11.881703717940798,0.00020617029208869892,4.444922072527279,0.00014945355420157625,3.515108905087516
445,0.00021051091227957338,11.881914228853077,0.0002056345940409137,4.44512770712132,0.00014908091909916296,3.5152579860066155
446,0.0002097147900556879,11.882123943643133,0.00020491319938411315,4.445332620320704,0.00014890590696206937,3.5154068919135777
447,0.00020917933308698666,11.88233312297622,0.0002043724310773661,4.445536992751781,0.00014851300346599105,3.515555404917044
448,0.00020840177775902313,11.882541524753979,0.00020364649210384854,4.445740639243885,0.00014827556336230745,3.515703680480406
449,0.000207879468224359,11.882749404222203,0.00020310494535702518,4.445943744189242,0.00014783490630134336,3.5158515153867076
450,0.00020711081825798658,11.88295651504046,0.0002023958851610101,4.446146140074403,0.00014760148216975228,3.5159991168688776
451,0.00020658813627833202,11.883163103176738,0.00020187747117218698,4.446348017545575,0.00014721962127338078,3.516146336490151
452,0.00020582152167295382,11.883368924698411,0.00020118642829996112,4.446549203973875,0.00014704482593154108,3.5162933813160824
453,0.0002053031501063486,11.883574227848518,0.00020066760160247709,4.446749871575478,0.00014667884370035274,3.5164400601597827
