modes,coeffINI,accumINI,coeffGD,accumGD,coeffLSGD,accumLSGD
1,9.176570142686383,9.176570142686383,6.180423681398989e-06,6.180423681398989e-06,1.200913366626707e-08,1.200913366626707e-08
2,0.6808634331780891,9.857433575864473,1.3703747623232383e-05,1.988417130463137e-05,1.8312998658436756e-08,3.032213232470383e-08
3,0.42571309558794274,10.283146671452416,6.477456982873238e-06,2.6361628287504607e-05,2.531544484139499e-08,5.563757716609882e-08
4,0.19500387636835623,10.478150547820771,0.00047202532442506065,0.0004983869527125653,5.855816159164866e-11,5.569613532769047e-08
5,0.16481265392724376,10.642963201748016,8.547928035764701e-05,0.0005838662330702123,2.6116053772337025e-07,3.1685667305106073e-07
6,0.10443394389079182,10.747397145638807,5.130028122270355e-06,0.0005889962611924826,6.990855517411864e-07,1.0159422247922472e-06
7,0.093131391574525,10.840528537213332,0.0001101815448680625,0.0006991778060605452,1.2341067712035658e-06,2.250048995995813e-06
8,0.06758712924860867,10.90811566646194,1.5849416278017953e-05,0.0007150272223385632,8.087508400899564e-07,3.0587998360857694e-06
9,0.06182353242981011,10.969939198891751,0.00013716114759960033,0.0008521883699381635,2.304949857978843e-07,3.2892948218836537e-06
10,0.048352751743915456,11.018291950635666,5.526836776323273e-05,0.0009074567377013962,3.4254970102632127e-07,3.631844522909975e-06
11,0.04491990738496193,11.063211858020628,0.00013013352774707198,0.0010375902654484682,5.197715115795313e-07,4.151616034489507e-06
12,0.03683825757381089,11.100050115594438,4.277545699295837e-05,0.0010803657224414266,2.888431211444298e-07,4.440459155633937e-06
13,0.034590253515275345,11.134640369109714,4.698458710926751e-05,0.0011273503095506942,5.511029729650889e-07,4.9915621285990256e-06
14,0.029308164139374156,11.163948533249089,4.039397624171562e-07,0.0011277542493131113,4.234301969733632e-08,5.033905148296362e-06
15,0.027735982950052866,11.191684516199143,2.9496499220764135e-06,0.0011307038992351877,2.0224231695133836e-07,5.236147465247701e-06
16,0.02406533342278366,11.215749849621925,7.623810874470073e-05,0.0012069420079798884,1.2037572290126362e-06,6.439904694260337e-06
17,0.02291124198516042,11.238661091607085,0.00015502283342966715,0.0013619648414095555,6.878633603634417e-07,7.127768054623778e-06
18,0.020240242082366272,11.258901333689451,0.00037765234664251127,0.0017396171880520667,5.414503680115838e-07,7.669218422635361e-06
19,0.019361116313730928,11.278262450003181,0.0005506184411799198,0.0022902356292319867,2.3684570959940257e-09,7.671586879731356e-06
20,0.017346698345447834,11.295609148348628,0.0008880712898238087,0.0031783069190557955,2.673637084198462e-07,7.938950588151203e-06
21,0.01665723193693946,11.312266380285568,0.0011215486155335215,0.004299855534589317,1.741581500622552e-06,9.680532088773755e-06
22,0.015093910280067345,11.327360290565634,0.00151007399719211,0.005809929531781427,2.6413963658108397e-06,1.2321928454584595e-05
23,0.014540330949886288,11.34190062151552,0.0017547173730609643,0.0075646469048423915,4.02966418935747e-06,1.6351592643942066e-05
24,0.01329839656211835,11.35519901807764,0.00213539434336454,0.009700041248206932,3.313297850640473e-06,1.966489049458254e-05
25,0.012845241189185551,11.368044259266826,0.002351478039691388,0.01205151928789832,2.5632797583910706e-06,2.222817025297361e-05
